"TIME","GEO","SPECIES","FISHREG","UNIT","Value","Flag and Footnotes"
"2007","Norway","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Norway","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight",":",""
"2007","Norway","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight",":",""
"2007","Norway","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Norway","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Norway","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Norway","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight",":",""
"2007","Norway","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight","12 933",""
"2007","Norway","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Norway","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight","12 933",""
"2007","Norway","European sprat - Sprattus sprattus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Norway","European sprat - Sprattus sprattus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2007","Turkey","All aquatic organisms","Total fishing areas","Tonnes live weight","599 091",""
"2007","Turkey","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Turkey","All aquatic organisms","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Turkey","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Turkey","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","599 091",""
"2007","Turkey","Salmons, trouts, smelts","Total fishing areas","Tonnes live weight",":",""
"2007","Turkey","Salmons, trouts, smelts","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Turkey","Salmons, trouts, smelts","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Turkey","Salmons, trouts, smelts","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Turkey","Salmons, trouts, smelts","Mediterranean and Black Sea","Tonnes live weight",":",""
"2007","Turkey","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","16 300",""
"2007","Turkey","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Turkey","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Turkey","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Turkey","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight","16 300",""
"2007","Turkey","Herrings, sardines, anchovies","Total fishing areas","Tonnes live weight","417 862",""
"2007","Turkey","Herrings, sardines, anchovies","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Turkey","Herrings, sardines, anchovies","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Turkey","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Turkey","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight","417 862",""
"2007","Turkey","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight","19 872",""
"2007","Turkey","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Turkey","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Turkey","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Turkey","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight","19 872",""
"2007","Turkey","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight","11 921",""
"2007","Turkey","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2007","Turkey","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight",":",""
"2007","Turkey","European sprat - Sprattus sprattus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2007","Turkey","European sprat - Sprattus sprattus","Mediterranean and Black Sea","Tonnes live weight","11 921",""
"2008","European Union (current composition)","All aquatic organisms","Total fishing areas","Tonnes live weight","4 910 210.26",""
"2008","European Union (current composition)","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","55 562.12",""
"2008","European Union (current composition)","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","3 545 016.58",""
"2008","European Union (current composition)","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","423 223.18",""
"2008","European Union (current composition)","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","491 797.56",""
"2008","European Union (current composition)","Salmons, trouts, smelts","Total fishing areas","Tonnes live weight",":",""
"2008","European Union (current composition)","Salmons, trouts, smelts","Atlantic, Northwest","Tonnes live weight",":",""
"2008","European Union (current composition)","Salmons, trouts, smelts","Atlantic, Northeast","Tonnes live weight",":",""
"2008","European Union (current composition)","Salmons, trouts, smelts","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","European Union (current composition)","Salmons, trouts, smelts","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","European Union (current composition)","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","676 406.57",""
"2008","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight",":",""
"2008","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight","613 859.71",""
"2008","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","European Union (current composition)","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","European Union (current composition)","Herrings, sardines, anchovies","Total fishing areas","Tonnes live weight","1 537 439.84",""
"2008","European Union (current composition)","Herrings, sardines, anchovies","Atlantic, Northwest","Tonnes live weight",":",""
"2008","European Union (current composition)","Herrings, sardines, anchovies","Atlantic, Northeast","Tonnes live weight","1 179 393",""
"2008","European Union (current composition)","Herrings, sardines, anchovies","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","European Union (current composition)","Herrings, sardines, anchovies","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","European Union (current composition)","Tunas, bonitos, billfishes","Total fishing areas","Tonnes live weight",":",""
"2008","European Union (current composition)","Tunas, bonitos, billfishes","Atlantic, Northwest","Tonnes live weight",":",""
"2008","European Union (current composition)","Tunas, bonitos, billfishes","Atlantic, Northeast","Tonnes live weight",":",""
"2008","European Union (current composition)","Tunas, bonitos, billfishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","European Union (current composition)","Tunas, bonitos, billfishes","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","European Union (current composition)","European sprat - Sprattus sprattus","Total fishing areas","Tonnes live weight",":",""
"2008","European Union (current composition)","European sprat - Sprattus sprattus","Atlantic, Northwest","Tonnes live weight",":",""
"2008","European Union (current composition)","European sprat - Sprattus sprattus","Atlantic, Northeast","Tonnes live weight","463 201.83",""
"2008","European Union (current composition)","European sprat - Sprattus sprattus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","European Union (current composition)","European sprat - Sprattus sprattus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Belgium","All aquatic organisms","Total fishing areas","Tonnes live weight","22 097.85",""
"2008","Belgium","All aquatic organisms","Atlantic, Northwest","Tonnes live weight",":",""
"2008","Belgium","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","22 097.85",""
"2008","Belgium","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight",":",""
"2008","Belgium","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight",":",""
"2008","Belgium","Salmons, trouts, smelts","Total fishing areas","Tonnes live weight",":",""
"2008","Belgium","Salmons, trouts, smelts","Atlantic, Northwest","Tonnes live weight",":",""
